Over,Ball No.,Bowler,Batsman,Outcome,Runs,Length,Line,Shot Type,Position,Hit Type,Variation,Speed,Field Activity
19,6,cummins,kohli,6,6,Full,Outside-off,,Long-off,,,Slower,
19,2,cummins,kohli,1,1,,,Hook,Mid-on,,,Slower,
18,6,jhye richardson,kohli,4,4,Full,Outside-off,,,,,,
18,5,jhye richardson,kohli,2,2,,,Drive,Backward-point,,,,
18,3,jhye richardson,kohli,1,1,,Outside-off,,Long-off,,,,
18,2,jhye richardson,kohli,6,6,Yorker,Outside-off,,Long-off,,,,
18,2,jhye richardson,kohli,6,6,Yorker,,,Long-off,,,,
18,2,jhye richardson,kohli,1w,1,Yorker,Outside-off,,,,,,
18,2,jhye richardson,kohli,1w,1,Yorker,,,,,,,
18,1,jhye richardson,kohli,â€¢,0,Full,Outside-off,,Cover,,,Slower,
17,4,djm short,kohli,1,1,Short,,,Long-off,,,,
17,1,djm short,kohli,1,1,Short,Leg-stump,,Midwicket,,,Slow,
16,5,zampa,kohli,1,1,Good,Leg-stump,,Midwicket,,,,
16,4,zampa,kohli,â€¢,0,Length,Outside-off,,Backward-point,,,,
16,3,zampa,kohli,â€¢,0,Yorker,Leg-stump,,,,,,
16,1,zampa,kohli,1,1,Good,,,Midwicket,,,,
15,6,coulter-nile,kohli,1,1,,,,Midwicket,,,,
15,5,coulter-nile,kohli,6,6,Length,Outside-off,,Square-leg,,,,
15,4,coulter-nile,kohli,6,6,Length,Outside-off,,Extra-cover,,,,
15,3,coulter-nile,kohli,6,6,Length,,,Midwicket,,,Slower,
14,6,jhye richardson,kohli,â€¢,0,Good,Outside-off,Off-drive,,,,Slower,
14,5,jhye richardson,kohli,2,2,Good,,,Third-man,,,,Dive
14,4,jhye richardson,kohli,6,6,Length,,,Long-off,,,,
14,1,jhye richardson,kohli,1,1,Good,,,Third-man,,,Slower,
13,6,cummins,kohli,1,1,Good,,,Deep-point,,,,
13,2,cummins,kohli,1,1,Good,,,Long-leg,,,Pace,
13,1,cummins,kohli,2,2,Length,Outside-off,,Cover,,,,
12,6,djm short,kohli,1,1,Short,,Pull,Deep-square-leg,,,,
12,1,djm short,kohli,1,1,Short,,Pull,Long-on,,,,
11,6,zampa,kohli,1,1,,Outside-off,,Cover,,,,
11,5,zampa,kohli,4,4,Short,,,Backward-point,,,,
11,1,zampa,kohli,1,1,Short,,,Long-on,,,,
10,1,djm short,kohli,1,1,Short,Outside-off,Pull,Midwicket,,,,
9,6,behrendorff,kohli,1,1,Length,,,Point,,,,
9,3,behrendorff,kohli,1,1,,Outside-off,,Third-man,,,,
8,6,zampa,kohli,2,2,Good,,Cut,Midwicket,,Slider,,Throw
8,4,zampa,kohli,1,1,Length,,,Long-on,,,,
8,3,zampa,kohli,â€¢,0,Length,,,Midwicket,,,,
8,2,zampa,kohli,â€¢,0,Length,Outside-off,,Off-side,,,,
7,5,coulter-nile,kohli,1,1,Length,Outside-off,Cut,Off-side,,,,
7,2,coulter-nile,kohli,1,1,Full,Outside-off,,Slip,Outside-edge,,,
2,4,willey,kohli,W,0,Good,,,Cover,,,Slow,Catch
2,3,willey,kohli,6,6,,Leg-stump,,,,,,
2,2,willey,kohli,4,4,Length,,,Mid-on,,,,
2,1,willey,kohli,â€¢,0,Yorker,,,,,,,
1,3,topley,kohli,1,1,Length,,Glance,Deep-square-leg,,,,
1,2,topley,kohli,â€¢,0,Good,,,Cover,,,,
18,5,bennett,kohli,W,0,,Outside-off,Drive,Extra-cover,,,Slower,Catch
18,4,bennett,kohli,2,2,Length,,,Long-on,,,Slower,
18,3,bennett,kohli,2,2,Length,,,Long-on,,,Slower,
17,5,southee,kohli,1,1,Good,Leg-stump,,Short-fine-leg,,,,
17,4,southee,kohli,2,2,,,,Deep-square-leg,,,,Stop
17,2,southee,kohli,1,1,,,,Off-side,,,,
17,1,southee,kohli,2,2,Good,,,Backward-square-leg,,,,
16,5,santner,kohli,1,1,,Leg-stump,,Square-leg,,,,
16,1,santner,kohli,1,1,Good,,,Long-on,,,,
15,6,sodhi,kohli,1,1,Full,Outside-off,,Long-on,,,,
15,4,sodhi,kohli,1,1,Short,Outside-off,Pull,Midwicket,,,Slow,
14,6,santner,kohli,4,4,Full,,,Long-on,,,,
14,3,santner,kohli,1,1,Length,Leg-stump,,Midwicket,,,,
14,2,santner,kohli,6,6,Full,Outside-off,,Extra-cover,,,,
13,6,sodhi,kohli,2,2,,,Cut,Cover,,,,
13,5,sodhi,kohli,â€¢,0,,,,,,Googly,,
13,3,sodhi,kohli,1,1,,,,Short-fine-leg,,,,
13,2,sodhi,kohli,â€¢,0,,Outside-off,,Extra-cover,,,Slower,
13,1,sodhi,kohli,4,4,,,,Short-fine-leg,,,,
12,6,de grandhomme,kohli,1,1,Full,Outside-off,,Long-on,,,,
12,4,de grandhomme,kohli,1,1,Length,Outside-off,,Short-third-man,,,,
12,3,de grandhomme,kohli,2,2,Full,,Drive,Cover,,,,Stop
12,1,de grandhomme,kohli,1lb,0,,,,Square-leg,,,Slower,
11,6,sodhi,kohli,1,1,,Outside-off,Drive,Long-off,,,,
11,5,sodhi,kohli,â€¢,0,Short,Outside-off,,Extra-cover,,,,Throw
11,4,sodhi,kohli,â€¢,0,Length,Leg-stump,,Cover,,,,
11,1,sodhi,kohli,1,1,,Leg-stump,,Long-on,,,,
13,4,chase,kohli,W,0,,Middle-stump,,,,,,Bowled
13,3,chase,kohli,â€¢,0,,Outside-off,Cut,,,,,Bowled
13,3,chase,kohli,â€¢,0,,Outside-off,,,,,,
13,3,chase,kohli,1w,1,,,Cut,Leg-side,,,,Bowled
13,3,chase,kohli,1w,1,,,,Leg-side,,,,
13,2,chase,kohli,6,6,,,,Long-on,,,,
12,6,smith,kohli,â€¢,0,Short,,,,,,,
12,5,smith,kohli,â€¢,0,Short,Outside-off,,Point,,,,
12,5,smith,kohli,â€¢,0,,,,Slip,,,,
12,5,smith,kohli,1w,1,Short,Outside-off,,Leg-side,,,,
12,5,smith,kohli,1w,1,,,,Leg-side,,,,
12,3,smith,kohli,1,1,Short,,,Deep-square,,,,
12,3,smith,kohli,1,1,Short,,,Slip,,,,
12,3,smith,kohli,1w,1,,,,Leg-side,,,,
12,2,smith,kohli,4,4,,,,Third-man,,,Pace,
12,1,smith,kohli,2,2,Short,,,Leg-side,,,,
11,5,chase,kohli,1lb,0,Length,Outside-off,,,,,,
11,4,chase,kohli,â€¢,0,Short,,,,,,,
11,2,chase,kohli,1,1,Full,,,Short-fine-leg,,,,
11,1,chase,kohli,â€¢,0,Yorker,,,Off-side,,,,
10,4,holder,kohli,1,1,,,Pull,Slip,,,Slower,
10,1,holder,kohli,1,1,Length,,,Long-on,,,,
9,4,chase,kohli,1,1,,,,Short-third-man,,,Pace,
9,3,chase,kohli,â€¢,0,Full,Outside-off,,Extra-cover,,,,
9,1,chase,kohli,1,1,Full,,,Long-on,,,,
8,5,hosein,kohli,1,1,Short,,,Long-on,,,,
8,1,hosein,kohli,1,1,Length,,,Leg-side,,,,
7,6,chase,kohli,1,1,,,,Long-on,,,,
7,4,chase,kohli,1,1,,,,Leg-side,,,,
7,3,chase,kohli,â€¢,0,Short,,,,,,,
7,1,chase,kohli,1,1,Short,Outside-off,,Midwicket,,,,
6,5,hosein,kohli,1,1,,,,Point,,,,Misfield
6,3,hosein,kohli,1,1,Length,Outside-off,,Off-side,,,,
6,2,hosein,kohli,â€¢,0,Length,Outside-off,Cut,Point,,,,
6,1,hosein,kohli,4,4,Short,Outside-off,,Extra-cover,,,,
5,5,shepherd,kohli,1,1,Full,Outside-off,,Mid-off,,,,
5,4,shepherd,kohli,â€¢,0,Short,Outside-off,,Cover,,,,
5,3,shepherd,kohli,4,4,Short,Outside-off,Drive,Extra-cover,,,,
5,2,shepherd,kohli,4,4,,,,Mid-on,,,,
5,1,shepherd,kohli,â€¢,0,Full,Outside-off,,,Outside-edge,,,
4,4,holder,kohli,1,1,Length,Outside-off,,Leg-side,Inside-edge,,,
4,2,holder,kohli,1,1,Length,,,Deep-square-leg,,,,
4,1,holder,kohli,4,4,Short,,,Cover,,,,
2,6,hosein,kohli,4,4,Full,Leg-stump,,Long-leg,,,,
2,5,hosein,kohli,â€¢,0,,,,Midwicket,,,,
2,4,hosein,kohli,â€¢,0,,,,,Outside-edge,,Slower,
2,3,hosein,kohli,â€¢,0,,,,Off-side,,,,
2,2,hosein,kohli,4,4,Good,,,Short-leg,,,Pace,
2,1,hosein,kohli,â€¢,0,,,,Mid-on,,Slider,,
18,5,fortuin,kohli,1,1,,,,Long-on,,,,
18,4,fortuin,kohli,6,6,,,,Long-on,,,,
18,2,fortuin,kohli,1,1,,,Pull,Midwicket,,,,
18,1,fortuin,kohli,â€¢,0,,,Drive,,,,Slow,
17,4,rabada,kohli,1,1,Short,Outside-off,,Midwicket,,,,
17,3,rabada,kohli,â€¢,0,Good,Outside-off,,Cover,,,,
17,2,rabada,kohli,â€¢,0,Good,Outside-off,,,,,Slower,
17,1,rabada,kohli,6,6,Length,Leg-stump,,,,,Pace,
16,6,phehlukwayo,kohli,1,1,,,,Deep-square,,,Slower,
16,5,phehlukwayo,kohli,â€¢,0,Yorker,Outside-off,Drive,Extra-cover,,,,
16,3,phehlukwayo,kohli,1,1,,,,Long-on,,,Slower,
16,2,phehlukwayo,kohli,4,4,Short,Outside-off,Cut,Point,,,,
16,1,phehlukwayo,kohli,4,4,Good,,,Extra-cover,,,,
15,6,fortuin,kohli,1,1,,,Drive,Extra-cover,,,,
15,3,fortuin,kohli,1,1,Full,,Drive,,,,,
15,1,fortuin,kohli,1,1,Full,,Drive,Long-on,,,,
14,5,nortje,kohli,1,1,Short,,,Deep-square-leg,,,,
14,4,nortje,kohli,2,2,,,Drive,Cover,,,,
13,2,fortuin,kohli,1,1,,,,Short-fine-leg,,Slider,,
13,1,fortuin,kohli,â€¢,0,Full,Outside-off,,Cover,,,,
12,6,nortje,kohli,1,1,Yorker,Outside-off,,Point,,,,
12,4,nortje,kohli,1,1,Short,Outside-off,Pull,Midwicket,,,,
12,2,nortje,kohli,1,1,Length,Outside-off,,Third-man,,,,
12,1,nortje,kohli,â€¢,0,Good,Outside-off,,Cover,,,,
11,6,shamsi,kohli,1,1,Length,Leg-stump,,Long-on,,,,
11,3,shamsi,kohli,1,1,,Middle-stump,,Long-on,,,,
11,1,shamsi,kohli,3,3,,Leg-stump,,Square-leg,,,,
10,4,fortuin,kohli,1,1,,Outside-off,,Mid-off,,,,
10,2,fortuin,kohli,1,1,Length,Outside-off,,Cover,,,Fast,
9,5,shamsi,kohli,1,1,Full,,Cover-drive,Long-off,,,,Misfield
9,3,shamsi,kohli,1,1,Length,,,Long-off,,,,
9,1,shamsi,kohli,1,1,Short,,,Midwicket,,,,
8,6,pretorius,kohli,1,1,Full,Outside-off,,Deep-square,,,,
8,5,pretorius,kohli,2,2,Full,Outside-off,,Extra-cover,,,,
8,2,pretorius,kohli,1,1,,,,Point,,,,
8,1,pretorius,kohli,6,6,,,Drive,Extra-cover,,,,
7,5,shamsi,kohli,1,1,,,,Long-on,,,,
7,3,shamsi,kohli,1,1,,Outside-off,,Midwicket,,,,
7,1,shamsi,kohli,1,1,Short,,,,,,,
6,6,pretorius,kohli,1lb,0,,,,,,,Slower,Run-out
6,4,pretorius,kohli,1,1,,Middle-stump,,Deep-square,,,,
6,3,pretorius,kohli,â€¢,0,Length,,,Square-leg,,,,
6,1,pretorius,kohli,1,1,Length,,,,,,,
5,4,phehlukwayo,kohli,1,1,,,,,,,,
5,3,phehlukwayo,kohli,â€¢,0,,,Cut,,Inside-edge,,,
5,2,phehlukwayo,kohli,â€¢,0,Length,Outside-off,,Short-third-man,,,,
5,1,phehlukwayo,kohli,4,4,Good,,Drive,Extra-cover,,,,
4,5,pretorius,kohli,1,1,,Outside-off,,Deep-square-leg,,,,
4,4,pretorius,kohli,4,4,Full,,,Midwicket,,,,
4,3,pretorius,kohli,â€¢,0,Length,,,,,,,
4,2,pretorius,kohli,2,2,Length,,,Midwicket,,,,
